LAYER,P,R,F
0,0.4289719,0.42637232,0.42498618
1,0.66343707,0.6616063,0.66168916
2,0.6991224,0.69773823,0.6980758
3,0.71215475,0.7110745,0.711403
4,0.69837403,0.6972088,0.6974815
5,0.7149738,0.71342784,0.71392167
6,0.73394054,0.7325636,0.73307407
7,0.7602404,0.7592253,0.7595458
8,0.78557706,0.78446233,0.78486407
9,0.79286855,0.7918638,0.7922411
10,0.8075659,0.8064872,0.8068669
11,0.79708433,0.79601127,0.79638994
12,0.79832006,0.7968968,0.79744464
13,0.79638153,0.795047,0.7955328
14,0.7879368,0.7864785,0.7869851
15,0.78614825,0.7845788,0.78508043
16,0.7984079,0.7969701,0.7974727
17,0.79658616,0.7951294,0.795641
18,0.7940737,0.7927854,0.79320824
19,0.7896546,0.7883082,0.7887654
20,0.7742015,0.773116,0.773471
21,0.7844305,0.7833514,0.78373796
22,0.80743957,0.80644494,0.8067992
23,0.8098017,0.8084458,0.80892956
24,0.9435247,0.94324756,0.9433546
